username,followers,following
k.togashi,3391,1753
prestige_cats_kingdm,1405,3078
emilia_breakfastideas,1225,4550
nooky_the_fluffy,2157,4605
valoumodeuze,42678,459
michiruchang,1252,666
mochilde,1064,2162
whitengrey_furrytale,10150,216
we_love_cats_and_kittens,55341,2634
catismatic,90067,1
sophiecat.scottish,1587,504
weird0catt0,4665,11
catloverswd,19848,7498
liukaabalks,29817,3515
lattesleepycat,48,14
catmaniausa,528,976
soniasardinia,34,45
pizza_n_potato,117,22
darwinandhumboldt,74,19
maincoonmastino,2461,596
beatriceimpronta,447,276
maya_atharina,13895,473
saskiatakensmilne,306,384
painto,1214,680
lynx.meownuel.purranda,3613,562
risalucy,52,2
lokiboo_,18,20
liamuandmilfy,1022,8
oito.patinhaas,1207,445
vierhetleven,225,247
rocco.diary,177,203
mittens_n_woolums_adventures,1106,2257
amagatti_fi,740,104
thesefuckingcats,95,277
neko_noth,83,41
acasadilifen,1961,292
yellow.caty,2180,2948
luckycats.se,3176,3620
matatabisendai,1655,893
cats.lovers19,37524,4042
vicaportela,1654,605
maincoonbrittishragdoll,96,33
herbacyana,242,109
tiktac.catkittiesvibes,40,81
happycatclub,1276632,9
niikachan,1468,1460
musiaqueen,61,39
cats.now,8948,7177
3ihcomo,3347,295
catsloverssquad,2,1
sahara_sadogrescue,4032,614
ronaldo_britishblue,10438,864
the_life_of_nebbia_e_castagna,16,8
bobo.oppa_cats,114,46
hancock_and_luffy,366,555
pearl_milktea,176,116
at_home_by_mc,1873,795
kittensmajor,246257,3
cat_dot_ig,34119,2903
cute_ginger_cat,16070,2176
vivi_cat_,1318,48
eli__92,620,274
bom_ibom_i,1415,247
meowcatscafe,1896,113
ginger_the_ragdoll_cat,109,23
bundoaa_cat,39,48
aewynia,243,201
maria.meowmew,351,64
lilka_british_cat,42565,1039
coucou8032,3,87
zincats,122262,96
kwinanakats,52,42
oasifelina,1800,183
fluffy_catlove,402,285
geothecat_ig,1729,1085
asiacat_,115,330
calvinhobe,169,153
i_min_u,33741,101
_sofashion_,3889,1315
